#,Nome,Nicho,Nota,Avaliações,E-mail,Telefone,WhatsApp,Instagram,Domínio sugerido,Site atual,GMN (Google Meu Negócio),gmnCid,Motivo,Situação,Status,URL nova
35,Alinhamento Vilarinho,oficinas,4.4,377,,(31) 3451-1191,553134511191,,,https://wa.me/message/QKOG5ORCPMXJA1,,,"OPORTUNIDADE (site novo): 377 avaliações, sem site (só link de WhatsApp).",Qualificado,proposta,https://kairostecnologia.com/clientes/alinhamento-vilarinho/
36,Vilarinho Embreagens,oficinas,4.2,457,,(31) 2116-0826,5531981084502,@vilarinhoembreagem,,https://vilarinhoembreagens.com.br,,,OPORTUNIDADE (site caído): 457 avaliações e site fora do ar — ângulo forte de abordagem.,Qualificado,proposta,https://kairostecnologia.com/clientes/vilarinho-embreagens/
37,GR Advogado INSS Previdenciário (Gecilane),advogados,5.0,2928,,(31) 99539-9740,5531995399740,,,https://gecilaneadvocacia.com.br,,,Site profissional e moderno.,Descartado,descartado,
38,Advogado Dr. João Paulo Alves,advogados,5.0,227,,(31) 97599-6815,5531975996815,,,https://drjoaopauloalvesadv.com.br,,,"Site já moderno (layout atual, CTA WhatsApp, FAQ).",Descartado,descartado,
39,Rafael Nunes Duarte | Adv. Trabalhista,advogados,5.0,221,,(31) 99749-1994,5531997491994,,,https://rafaelnunesduarteadvogado.com,,,Site fora do ar (não carrega).,Descartado,descartado,
40,Daniel Frederighi Advogados Associados,advogados,5.0,210,,(31) 3201-2151,5531984351476,,,https://danielfrederighiadvogados.com.br,,,"Site profissional e completo (escritório grande, unidades SP/BH/Brasília).",Descartado,descartado,
41,Braga e Lima Sociedade de Advogados (Escr. Trabalhista),advogados,5.0,200,,(31) 97345-9736,5531973459736,,,https://bragaelimaadvogados.com,,,"Site profissional completo (equipe com credenciais, blog extenso).",Descartado,descartado,
42,Dra. Mirthes Araújo – Adv. Trabalhista/INSS,advogados,5.0,115,,(31) 97190-3588,5531971903588,,,https://linktr.ee/mirthes.araujo,,,Sem site próprio — usa Linktree.,Descartado,descartado,
43,Advogado Criminal - Rodrigo Braga,advogados,5.0,74,,(31) 98789-1153,5531987891153,,,,,,Sem site próprio (apenas ficha do Google).,Descartado,descartado,
44,Sousa & Sousa Advogados,advogados,5.0,65,piterluizm53@gmail.com,(31) 98509-3929,5531985093929,,,https://sousaesousaadvogados.com.br,,,"Site moderno e completo (seções, prova social, FAQ, CTA WhatsApp).",Descartado,descartado,
45,Almeida & Aquino Advocacia | INSS,advogados,5.0,61,,(31) 99552-3347,5531995523347,,,,,,Sem site (nenhum website no perfil).,Descartado,descartado,
46,Advogado Venda Nova - Débora Borges,advogados,5.0,26,,(31) 99466-6593,5531994666593,,,https://deboraborgesadv.com,,,Apenas 26 avaliações (mínimo 40).,Descartado,descartado,
47,Clínica Médica Procê Saúde,clinicas medicas,4.9,284,contato@procesaude.com.br,(31) 2391-5858,5531982480961,,,https://procesaude.com.br,,,"Site moderno e completo (preços, especialidades, depoimentos, FAQ).",Descartado,descartado,
48,Adriana Ramalho - Advocacia Previdenciária,advogados,4.9,207,,(31) 3457-8831,5531999379544,,,https://adrianaramalhoprevidencia.com.br,,,"Site profissional completo (blog, formulário, feito por agência).",Descartado,descartado,
49,Gonzaga Camilo Advogados (GZC),advogados,4.9,119,contato@gzcadvocacia.com.br,(31) 92002-7779,5531920027779,,,https://gzcadvocacia.com.br,,,"Site profissional excelente (menu completo, áreas detalhadas, avaliações, conformidade OAB).",Descartado,descartado,
50,Graciliane Pimentel Escritório de Advocacia,advogados,4.9,73,,(31) 98698-2622,5531986982622,,,https://gracilianepimenteladv.smallpage.com.br,,,Sem site próprio — página bio no smallpage.,Descartado,descartado,
51,Escritório de Advocacia - Morais & Bastos,advogados,4.9,38,,(31) 98969-3971,5531989693971,,,,,,Sem site + 38 avaliações (mínimo 40).,Descartado,descartado,
52,Marcio Santos Advocacia e Consultoria,advogados,4.9,37,,(31) 98485-1007,5531984851007,,,,,,Apenas 37 avaliações (mínimo 40).,Descartado,descartado,
53,Complexo de Saúde Vida Nova,clinicas medicas,4.8,8925,,(31) 3457-4424,,,,https://www.clinicavidanova.com.br,,,"Site profissional completo (menu, especialidades, FAQ).",Descartado,descartado,
54,D&A Bosch Car Service,oficinas,4.8,498,,(31) 3458-6535,,,,https://dacentroautomotivo.com.br,,,"Site profissional completo (rede Bosch, avaliações, serviços).",Descartado,descartado,
55,TOC Auto Center (Pirelli) - Venda Nova,oficinas,4.8,435,,(31) 3360-5501,,,autocentertoc.com.br,https://autocentertoc.com.br,https://www.google.com/maps?cid=8480935223014522717,8480935223014522717,"Rede de lojas com site profissional (várias unidades, e-commerce atacado, trabalhe conosco) — baixa oportunidade.",Descartado,descartado,
56,Advogada Trabalhista Dra. Carolina Viana,advogados,4.8,131,,(31) 99256-5214,5531992565214,,,https://advocaciacarolinaviana.com.br,,,Site fora do ar (não carrega).,Descartado,descartado,
57,Mecânica Dias,oficinas,4.8,87,,(31) 98986-3426,5531989863426,https://instagram.com/automecanicadias,automecanicadias.com.br,https://automecanicadias.com.br,https://www.google.com/maps?cid=2938574469296495226,2938574469296495226,"Site próprio moderno e completo (hero, CTA de orçamento no WhatsApp, seções de serviços, WhatsApp flutuante) — baixa oportunidade.",Descartado,descartado,
58,Clínica da Cidade Venda Nova,clinicas medicas,4.7,1427,,,,,,,,,OPORTUNIDADE (site novo): 4.7/1427 avaliações e SEM site — excelente prospect.,Descartado,descartado,https://kairostecnologia.com/clientes/clinica-da-cidade/
59,Bono Pneus BH Venda Nova,oficinas,4.7,299,bhvendanova@bonopneus.com.br,(31) 99670-5423,5531996705423,,,https://bhvendanova.bonopneus.com.br,,,Site de franquia (mantido pela rede Bono Pneus).,Descartado,descartado,
60,Flaviana Magalhães - Advogada em Venda Nova,advogados,4.7,95,,(31) 99975-0779,5531999750779,,,https://magalhaesadvocacia.com,,,"QUALIFICADO: página única (LP) sem seções institucionais nem prova social, apesar de 95 avaliações 4.7. Contato por WhatsApp.",Descartado,descartado,https://kairostecnologia.com/clientes/flaviana-magalhaes/
61,MultiClinica,clinicas medicas,4.6,1300,,(31) 3408-3800,5531988741796,,,https://multiclinicabh.com.br,,,"Site profissional (corpo clínico, agendamento online, blog).",Descartado,descartado,
62,JUSCIDADÃO,advogados,4.6,61,,(31) 98588-5666,5531985885666,,,https://juscidadao.com.br,,,Site desativado — domínio mostra página do provedor (ConectaAdv).,Descartado,descartado,
63,Vartuli Advogados,advogados,4.6,9,,(31) 98893-8200,5531988938200,,,,,,Apenas 9 avaliações (mínimo 40).,Descartado,descartado,
64,Yozz Auto Center,oficinas,4.5,173,,(31) 3511-6993,,,,,,,Fora da região (Contagem) — anúncio patrocinado.,Descartado,descartado,
65,Uniclínica BH - Especialidades Médicas,clinicas medicas,4.3,536,,(31) 3656-4448,5531996728819,@uniclinicabh,,http://www.uniclinicabh.com.br,,,QUALIFICADO (redesign): site em template datado e com número de WhatsApp placeholder '123456789' em produção.,Descartado,descartado,https://kairostecnologia.com/clientes/cl-uniclinica/
66,Medicare,clinicas medicas,3.7,628,,(31) 3408-8900,,,,,,,Nota 3.7 (abaixo de 3.8).,Descartado,descartado,
67,Centro de Especialidades Médicas Primacordis,clinicas medicas,3.5,885,,(31) 3053-9497,,,,https://primacordis.com.br,,,Nota 3.5 (abaixo de 3.8).,Descartado,descartado,
68,AmorSaúde BH Venda Nova,clinicas medicas,3.3,753,,(31) 3408-2000,,,,https://amorsaude.com.br,,,Nota 3.3 (abaixo de 3.8) — rede.,Descartado,descartado,
69,Centro Clínico Venda Nova | Hapvida NotreDame,clinicas medicas,2.4,266,,(31) 4090-2290,,,,https://www.gndiminas.com.br,,,Nota 2.4 (abaixo de 3.8) — rede.,Descartado,descartado,
